confidence_threshold,coverage,accuracy_on_covered,contacts_covered
0.4,0.9384722222222223,0.9696610922006808,6757
0.44,0.9255555555555556,0.9773409363745498,6664
0.48,0.9095833333333333,0.985493968544816,6549
0.52,0.8968055555555555,0.9925662072169739,6457
0.56,0.8876388888888889,0.9956188389923329,6391
0.6,0.8790277777777777,0.9974719544951809,6329
0.64,0.8727777777777778,0.9992043284532145,6284
0.68,0.8654166666666666,0.9998395121168352,6231
0.72,0.8513888888888889,0.999836867862969,6130
0.76,0.8297222222222222,1.0,5974
0.8,0.8016666666666666,1.0,5772
0.84,0.7576388888888889,1.0,5455
0.88,0.6556944444444445,1.0,4721
0.92,0.3005555555555556,1.0,2164
