,change_delivery_address,clinical_review_delay,complaint_service,delivery_delayed,delivery_tracking,early_repeat_request,gp_declined_request,login_issue,medicine_unavailable,not_dispatched,online_doctor_order_status,parcel_not_received,possible_adverse_effect,prescription_not_received,refund_query,reminder_missing,repeat_prescription_request,split_order_request,unclear_or_out_of_scope,urgent_ran_out_medicine,waiting_gp_approval,wrong_notification
change_delivery_address,255,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clinical_review_delay,0,329,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,19,0,0,0,0
complaint_service,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
delivery_delayed,0,0,0,909,24,0,1,0,0,12,0,7,0,0,0,0,0,0,0,0,0,0
delivery_tracking,0,0,0,53,666,0,1,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0
early_repeat_request,0,0,0,0,0,145,0,0,0,0,0,0,0,8,0,0,15,0,0,0,0,0
gp_declined_request,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
login_issue,10,0,0,0,0,0,2,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0
medicine_unavailable,0,16,0,0,0,0,0,0,347,0,0,0,0,0,0,0,0,22,0,0,0,0
not_dispatched,0,0,0,42,11,0,0,0,0,439,0,9,0,0,0,0,0,0,0,0,0,0
online_doctor_order_status,0,0,0,0,0,0,0,0,0,0,157,0,0,0,10,0,0,0,0,0,0,0
parcel_not_received,0,0,0,31,10,0,0,0,0,3,0,365,0,0,0,0,0,0,0,0,0,0
possible_adverse_effect,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0
prescription_not_received,0,0,0,0,0,12,0,0,0,0,0,0,0,264,0,0,24,0,0,0,0,0
refund_query,0,0,0,0,0,0,0,0,0,0,9,0,0,0,131,0,0,0,0,0,0,0
reminder_missing,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,225,0,0,0,0,0,6
repeat_prescription_request,0,0,0,0,0,8,0,0,0,0,0,0,0,17,0,0,346,0,0,0,0,0
split_order_request,0,9,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,154,0,0,0,0
unclear_or_out_of_scope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0
urgent_ran_out_medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0
waiting_gp_approval,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,686,0
wrong_notification,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,115
